"n_tweetid","s_userid","s_tweettext","n_retweetvolume","n_favoritevolume","s_tweeturl","s_tweettime","r_tweetsentimentscore","r_tweetsentimentsmagnitude","n_tweetvalidstrcount"
24,"@fashionpressnet","[明日発売] スナイデルから、ビリー・アイリッシュをフィーチャーしたTシャツ＆フーディー発売 - ",69,482,"https://twitter.com/fashionpressnet/status/1252396666646216704","2020-04-21 00:40:08",0.2,0.2,49
25,"@fgoproject","【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ召喚」にてピックアップ中の「★4(SR)カイニス」の宝具演出「飛翔せよ、わが金色の大翼」をご紹介いたします！ ",453,2351,"https://twitter.com/fgoproject/status/1252901228641542145","2020-04-22 10:05:05",0.2,1.2,86
26,"@fgoproject","【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ召喚」にてピックアップ中の「★4(SR)カイニス」の宝具演出「飛翔せよ、わが金色の大翼」をご紹介いたします！ ",562,2984,"https://twitter.com/fgoproject/status/1251359437807210498","2020-04-18 03:58:33",0.2,1.2,86
27,"@livedoornews","【21時より】『ワイルド・スピード SKY MISSION』フジテレビにて今夜放送◆◆◆突然の交通事故により、撮影期間中に40歳という若さで亡くなったポール・ウォーカーさんのシリーズ最後の出演作としても知られている。 ",2319,4031,"https://twitter.com/livedoornews/status/1253826679954223105","2020-04-24 23:22:30",0.2,0.5,109
28,"@eigacom","【明日のファミリー】◆◆明日の「」は、人気シリーズ第7弾「ワイルド・スピード SKY MISSION」を放送。◆◆ポール・ウォーカーが出演した最後のワイスピで、ジェイソン・ステイサム演じるデッカード・ショウが初参戦してます?◆◆作品情報は ",345,584,"https://twitter.com/eigacom/status/1253632275578642433","2020-04-24 10:30:00",0.3,1.4,120
29,"@fujitv_movie","今夜9時～『ワイルド・スピード SKY MISSION』を放送◆（※一部地域を除く）◆◆あらゆる常識を覆すアクションで全世界を熱狂させ続ける「ワイルド・スピード」シリーズの最高傑作◆世界中の都市を舞台に、想像を超えるアクションとドラマが駆け抜ける◆◆どうそお楽しみに◆◆・スピード ",500,766,"https://twitter.com/fujitv_movie/status/1253821020055584768","2020-04-24 23:00:00",0.4,2.6,141
30,"@monst_mixi","獣神化情報◆「ユグドラシル」の獣神化が可能に！◆4/28（火）12時（正午）より解禁！◆◆詳細は公式サイトをチェック！◆◆ ",1607,5278,"https://twitter.com/monst_mixi/status/1253958236165648385","2020-04-25 08:05:15",0.2,0.9,62
31,"@monst_mixi","ただいまより獣神化解禁◆◆「Two for all」「無敵アイドル Two for all」「二人のキセキ Two for all」の獣神化が可能に！◆本日（4/25）19時より解禁！◆新たな姿をモンストでチェック！◆◆◆ ",430,1611,"https://twitter.com/monst_mixi/status/1253988382276976642","2020-04-25 10:05:02",0.5,2.2,112
32,"@monst_mixi","獣神化情報◆「プロメテウス」の獣神化が可能に！◆4/28（火）12時（正午）より解禁！◆ ◆詳細は公式サイトをチェック！◆◆ ",738,2740,"https://twitter.com/monst_mixi/status/1253953943337463808","2020-04-25 07:48:12",0.2,0.9,63
33,"@tobikan_jp","権力者と芸術の関わりをひもといていく 。入口で来場者をお迎えするのは、古代エジプトのファラオ、ラメセス2世の彫像でした。◆◆第1章は「姿を見せる、力を示す」。さまざまな文化における権力者の肖像画や権力の象徴となる動物を表した作品などをご紹介します。 ",91,264,"https://twitter.com/tobikan_jp/status/1253519051004850176","2020-04-24 03:00:05",0.4,1.6,125
